1,944,709
125,944,722
76,195,723
98,792,724
19,401,727
195,1196,738
195,3051,744
4,91,744
34,345,756
34,364,758
220,1606,763
98,1586,767
141,195,769
19,34,771
72,364,772
220,401,794
4,19,798
29,364,811
34,792,813
29,91,823
29,1606,842
98,345,846
91,98,851
21,195,859
195,2616,864
4,364,868
72,1606,871
98,364,882
72,401,885
19,72,887
34,401,890
34,70,900
70,72,903
72,125,903
34,91,905
34,1606,907
4,401,912
98,125,919
29,401,923
195,255,930
34,944,933
195,4948,940
4,944,943
195,250,946
72,220,950
4,70,957
195,1586,970
29,70,973
29,220,975
72,345,980
70,98,1004
34,220,1018
34,125,1043
4,125,1057
98,944,1066
4,220,1069
19,29,1076
195,792,1082
29,345,1085
1,72,1092
195,743,1099
98,401,1110
98,220,1119
29,125,1123
220,364,1171
4,345,1223
72,944,1238
98,1606,1285
1,29,1300
91,195,1305
195,364,1326
4,72,1328
4,1606,1334
34,72,1367
19,195,1400
195,345,1420
4,34,1446
70,220,1453
29,944,1474
1,195,1476
195,401,1484
19,98,1528
70,364,1540
70,195,1550
195,1606,1555
29,34,1559
34,98,1589
4,29,1604
72,98,1621
4,98,1640
195,220,1699
125,195,1700
29,98,1703
195,944,2190
4,195,2276
34,195,2503
29,72,2588
98,195,3116
29,195,3641
72,195,3767
